Home,Other Slow,Other Fast,Total
0.0,33.0,0.0,33.0
0.0,33.0,0.0,33.0
0.0,33.0,0.0,33.0
0.0,33.0,0.0,33.0
0.0,33.0,0.0,33.0
0.0,27.599999999999973,0.0,27.599999999999973
0.0,26.4,0.0,26.4
0.0,26.4,150.0,176.4
0.0,20.40000000000009,150.0,170.4000000000001
0.0,19.799999999999997,150.0,169.8
0.0,19.799999999999997,150.0,169.8
0.0,19.799999999999997,56.39999999999997,76.19999999999996
0.0,19.799999999999997,0.0,19.799999999999997
0.0,19.799999999999997,0.0,19.799999999999997
0.0,26.4,0.0,26.4
0.0,26.4,0.0,26.4
0.0,26.4,0.0,26.4
0.0,26.4,150.0,176.4
0.0,26.4,150.0,176.4
0.0,26.4,143.39999999999998,169.79999999999998
0.0,26.4,0.0,26.4
0.0,26.4,0.0,26.4
0.0,26.4,0.0,26.4
0.0,26.4,0.0,26.4
0.0,26.4,0.0,26.4
0.0,26.4,0.0,26.4
0.0,26.4,0.0,26.4
0.0,26.4,0.0,26.4
0.0,26.4,0.0,26.4
0.0,26.4,0.0,26.4
0.0,26.4,0.0,26.4
0.0,26.4,0.0,26.4
0.0,26.4,0.0,26.4
0.0,26.4,0.0,26.4
0.0,26.4,0.0,26.4
0.0,26.4,0.0,26.4
0.0,26.4,0.0,26.4
0.0,26.4,0.0,26.4
0.0,26.4,0.0,26.4
0.0,26.4,0.0,26.4
0.0,26.4,0.0,26.4
0.0,26.4,0.0,26.4
0.0,26.4,0.0,26.4
0.0,26.4,0.0,26.4
0.0,26.4,0.0,26.4
0.0,26.4,0.0,26.4
0.0,26.4,0.0,26.4
0.0,26.4,0.0,26.4
0.0,26.4,0.0,26.4
0.0,26.4,0.0,26.4
0.0,26.4,0.0,26.4
0.0,26.4,0.0,26.4
0.0,26.4,0.0,26.4
0.0,26.4,0.0,26.4
0.0,26.4,0.0,26.4
0.0,26.4,0.0,26.4
0.0,19.800000000000423,0.0,19.800000000000423
0.0,19.799999999999997,0.0,19.799999999999997
0.0,19.799999999999997,0.0,19.799999999999997
0.0,19.799999999999997,0.0,19.799999999999997
0.0,19.799999999999997,0.0,19.799999999999997
0.0,19.799999999999997,0.0,19.799999999999997
0.0,19.799999999999997,0.0,19.799999999999997
0.0,19.799999999999997,0.0,19.799999999999997
0.0,19.799999999999997,0.0,19.799999999999997
0.0,19.799999999999997,0.0,19.799999999999997
0.0,19.799999999999997,0.0,19.799999999999997
0.0,19.799999999999997,0.0,19.799999999999997
0.0,19.799999999999997,0.0,19.799999999999997
0.0,19.799999999999997,0.0,19.799999999999997
0.0,19.799999999999997,0.0,19.799999999999997
0.0,19.799999999999997,0.0,19.799999999999997
0.0,19.799999999999997,0.0,19.799999999999997
0.0,19.799999999999997,0.0,19.799999999999997
0.0,19.799999999999997,0.0,19.799999999999997
0.0,19.799999999999997,0.0,19.799999999999997
0.0,19.799999999999997,0.0,19.799999999999997
0.0,19.799999999999997,0.0,19.799999999999997
0.0,19.799999999999997,0.0,19.799999999999997
0.0,19.799999999999997,0.0,19.799999999999997
0.0,19.799999999999997,0.0,19.799999999999997
0.0,19.799999999999997,0.0,19.799999999999997
0.0,19.799999999999997,0.0,19.799999999999997
0.0,19.799999999999997,0.0,19.799999999999997
0.0,19.799999999999997,0.0,19.799999999999997
0.0,19.799999999999997,0.0,19.799999999999997
0.0,19.799999999999997,0.0,19.799999999999997
0.0,19.799999999999997,0.0,19.799999999999997
0.0,19.799999999999997,0.0,19.799999999999997
0.0,19.799999999999997,0.0,19.799999999999997
0.0,19.799999999999997,0.0,19.799999999999997
0.0,19.799999999999997,0.0,19.799999999999997
0.0,19.799999999999997,0.0,19.799999999999997
0.0,19.799999999999997,0.0,19.799999999999997
0.0,19.799999999999997,0.0,19.799999999999997
0.0,19.799999999999997,0.0,19.799999999999997
0.0,19.799999999999997,0.0,19.799999999999997
0.0,19.799999999999997,0.0,19.799999999999997
0.0,19.799999999999997,0.0,19.799999999999997
0.0,19.799999999999997,0.0,19.799999999999997
0.0,19.799999999999997,0.0,19.799999999999997
0.0,19.799999999999997,0.0,19.799999999999997
0.0,19.799999999999997,0.0,19.799999999999997
0.0,19.799999999999997,0.0,19.799999999999997
0.0,19.799999999999997,0.0,19.799999999999997
0.0,19.799999999999997,0.0,19.799999999999997
0.0,19.799999999999997,0.0,19.799999999999997
0.0,26.4,0.0,26.4
0.0,26.4,0.0,26.4
0.0,20.4,0.0,20.4
0.0,19.799999999999997,0.0,19.799999999999997
0.0,19.799999999999997,0.0,19.799999999999997
0.0,19.799999999999997,0.0,19.799999999999997
0.0,13.200000000000426,0.0,13.200000000000426
0.0,13.2,0.0,13.2
0.0,13.2,0.0,13.2
0.0,13.2,0.0,13.2
0.0,13.2,0.0,13.2
0.0,13.2,0.0,13.2
0.0,13.2,0.0,13.2
0.0,13.2,0.0,13.2
0.0,13.2,0.0,13.2
0.0,13.2,0.0,13.2
0.0,13.2,0.0,13.2
0.0,13.2,0.0,13.2
0.0,13.2,0.0,13.2
0.0,13.2,0.0,13.2
0.0,19.799999999999997,0.0,19.799999999999997
0.0,19.799999999999997,0.0,19.799999999999997
0.0,26.4,0.0,26.4
0.0,26.4,0.0,26.4
0.0,26.4,0.0,26.4
0.0,26.4,0.0,26.4
0.0,26.4,0.0,26.4
0.0,24.6,0.0,24.6
0.0,19.799999999999997,0.0,19.799999999999997
0.0,19.799999999999997,0.0,19.799999999999997
0.0,19.799999999999997,0.0,19.799999999999997
0.0,19.799999999999997,0.0,19.799999999999997
0.0,19.799999999999997,0.0,19.799999999999997
0.0,19.799999999999997,0.0,19.799999999999997
0.0,19.799999999999997,0.0,19.799999999999997
0.0,19.799999999999997,0.0,19.799999999999997
0.0,19.799999999999997,0.0,19.799999999999997
0.0,19.799999999999997,0.0,19.799999999999997
0.0,19.799999999999997,0.0,19.799999999999997
0.0,19.799999999999997,0.0,19.799999999999997
0.0,19.799999999999997,0.0,19.799999999999997
0.0,19.799999999999997,0.0,19.799999999999997
0.0,18.59999999999999,0.0,18.59999999999999
0.0,13.2,0.0,13.2
0.0,13.2,0.0,13.2
0.0,13.2,0.0,13.2
0.0,13.2,0.0,13.2
0.0,13.2,0.0,13.2
0.0,13.2,0.0,13.2
0.0,13.2,0.0,13.2
0.0,13.2,0.0,13.2
0.0,13.2,0.0,13.2
0.0,13.2,0.0,13.2
0.0,13.2,0.0,13.2
0.0,13.2,0.0,13.2
0.0,13.2,0.0,13.2
0.0,13.2,0.0,13.2
0.0,13.2,0.0,13.2
0.0,13.2,0.0,13.2
0.0,13.2,0.0,13.2
0.0,13.2,0.0,13.2
0.0,13.2,0.0,13.2
0.0,13.2,0.0,13.2
0.0,13.2,0.0,13.2
0.0,13.2,0.0,13.2
0.0,13.2,0.0,13.2
0.0,13.2,0.0,13.2
0.0,13.2,0.0,13.2
0.0,13.2,0.0,13.2
0.0,13.2,0.0,13.2
0.0,13.2,0.0,13.2
0.0,13.2,0.0,13.2
0.0,13.2,0.0,13.2
0.0,13.2,0.0,13.2
0.0,13.2,0.0,13.2
0.0,10.800000000000017,0.0,10.800000000000017
0.0,6.6,0.0,6.6
0.0,6.6,0.0,6.6
0.0,6.6,0.0,6.6
0.0,6.6,0.0,6.6
0.0,6.6,0.0,6.6
0.0,6.6,0.0,6.6
0.0,6.6,0.0,6.6
0.0,6.6,0.0,6.6
0.0,6.6,0.0,6.6
0.0,6.6,0.0,6.6
0.0,6.6,0.0,6.6
0.0,6.6,0.0,6.6
0.0,6.6,0.0,6.6
0.0,6.6,0.0,6.6
0.0,13.2,0.0,13.2
0.0,13.2,0.0,13.2
0.0,13.2,0.0,13.2
0.0,13.2,0.0,13.2
0.0,13.2,0.0,13.2
0.0,13.2,0.0,13.2
0.0,13.2,0.0,13.2
0.0,13.2,0.0,13.2
0.0,13.2,0.0,13.2
0.0,13.2,0.0,13.2
0.0,13.2,0.0,13.2
0.0,13.2,0.0,13.2
0.0,13.2,0.0,13.2
6.6,13.2,0.0,19.799999999999997
6.6,13.2,0.0,19.799999999999997
6.6,13.2,0.0,19.799999999999997
6.6,13.2,0.0,19.799999999999997
6.6,13.2,0.0,19.799999999999997
6.6,13.2,0.0,19.799999999999997
6.6,13.2,0.0,19.799999999999997
