,CO2 factor,Date
103,0.4398748496725943,2022-01-01 17:45:00-08:00
104,0.4247906563063813,2022-01-01 18:00:00-08:00
105,0.47263775667816565,2022-01-01 18:15:00-08:00
106,0.4778244130259597,2022-01-01 18:30:00-08:00
107,0.433844699363557,2022-01-01 18:45:00-08:00
108,0.5571077469418816,2022-01-01 19:00:00-08:00
109,0.48543083380821767,2022-01-01 19:15:00-08:00
110,0.4550300763907573,2022-01-01 19:30:00-08:00
111,0.4285503994091883,2022-01-01 19:45:00-08:00
112,0.48207991178343096,2022-01-01 20:00:00-08:00
113,0.47627586624932533,2022-01-01 20:15:00-08:00
114,0.5126995425638486,2022-01-01 20:30:00-08:00
115,0.5317901549088916,2022-01-01 20:45:00-08:00
116,0.5490404418710101,2022-01-01 21:00:00-08:00
117,0.5357645152847753,2022-01-01 21:15:00-08:00
118,0.5275536115146874,2022-01-01 21:30:00-08:00
119,0.579199252401203,2022-01-01 21:45:00-08:00
120,0.5760664155745813,2022-01-01 22:00:00-08:00
121,0.537005145780986,2022-01-01 22:15:00-08:00
122,0.5356454235845843,2022-01-01 22:30:00-08:00
123,0.573702768473364,2022-01-01 22:45:00-08:00
124,0.506064712225783,2022-01-01 23:00:00-08:00
125,0.472341938727312,2022-01-01 23:15:00-08:00
126,0.4135834849641424,2022-01-01 23:30:00-08:00
127,0.424187493494579,2022-01-01 23:45:00-08:00
128,0.4013113453538857,2022-01-02 00:00:00-08:00
129,0.39192018451071364,2022-01-02 00:15:00-08:00
130,0.39957752073858605,2022-01-02 00:30:00-08:00
131,0.4010036852270196,2022-01-02 00:45:00-08:00
132,0.4092818194539333,2022-01-02 01:00:00-08:00
133,0.428337791956333,2022-01-02 01:15:00-08:00
134,0.41782367362051404,2022-01-02 01:30:00-08:00
135,0.42113605438693297,2022-01-02 01:45:00-08:00
136,0.40363477634655104,2022-01-02 02:00:00-08:00
137,0.394539059075957,2022-01-02 02:15:00-08:00
138,0.379799806031309,2022-01-02 02:30:00-08:00
139,0.395701976523599,2022-01-02 02:45:00-08:00
140,0.38754303251747535,2022-01-02 03:00:00-08:00
141,0.3792510659984483,2022-01-02 03:15:00-08:00
142,0.37312340000042304,2022-01-02 03:30:00-08:00
143,0.37353628012712603,2022-01-02 03:45:00-08:00
144,0.37126839504823234,2022-01-02 04:00:00-08:00
145,0.39629861727174065,2022-01-02 04:15:00-08:00
146,0.390096430292557,2022-01-02 04:30:00-08:00
147,0.38095519650517934,2022-01-02 04:45:00-08:00
148,0.3643634015233177,2022-01-02 05:00:00-08:00
149,0.36494646613290405,2022-01-02 05:15:00-08:00
150,0.36640713253514196,2022-01-02 05:30:00-08:00
151,0.373738306467638,2022-01-02 05:45:00-08:00
152,0.38912503688956335,2022-01-02 06:00:00-08:00
153,0.4088381614920717,2022-01-02 06:15:00-08:00
154,0.45542636564857236,2022-01-02 06:30:00-08:00
155,0.4675772461054583,2022-01-02 06:45:00-08:00
156,0.4390357103218307,2022-01-02 07:00:00-08:00
157,0.46215983481045564,2022-01-02 07:15:00-08:00
158,0.4009970252345203,2022-01-02 07:30:00-08:00
159,0.33212310688772567,2022-01-02 07:45:00-08:00
160,0.34942034876737366,2022-01-02 08:00:00-08:00
161,0.27309862780286936,2022-01-02 08:15:00-08:00
162,0.22121435032121636,2022-01-02 08:30:00-08:00
163,0.07920868978401503,2022-01-02 08:45:00-08:00
164,0.2747282964408013,2022-01-02 09:00:00-08:00
165,0.27976756597234304,2022-01-02 09:15:00-08:00
166,0.34939686145654836,2022-01-02 09:30:00-08:00
167,0.28638466260257134,2022-01-02 09:45:00-08:00
168,0.27335417053281197,2022-01-02 10:00:00-08:00
169,0.26854774458518,2022-01-02 10:15:00-08:00
170,0.230162739887918,2022-01-02 10:30:00-08:00
171,0.22795985870030933,2022-01-02 10:45:00-08:00
172,0.24371590344001667,2022-01-02 11:00:00-08:00
173,0.23797219192079866,2022-01-02 11:15:00-08:00
174,0.234678845334126,2022-01-02 11:30:00-08:00
175,0.22285416658085566,2022-01-02 11:45:00-08:00
176,0.2442792836339027,2022-01-02 12:00:00-08:00
177,0.184420256258201,2022-01-02 12:15:00-08:00
178,0.23082958641497767,2022-01-02 12:30:00-08:00
179,0.23046336564400802,2022-01-02 12:45:00-08:00
180,0.20687254907745198,2022-01-02 13:00:00-08:00
181,0.20611372371907366,2022-01-02 13:15:00-08:00
182,0.214807043454709,2022-01-02 13:30:00-08:00
183,0.222709144258982,2022-01-02 13:45:00-08:00
184,0.19474799332464499,2022-01-02 14:00:00-08:00
185,0.199647737983743,2022-01-02 14:15:00-08:00
186,0.20437700259816102,2022-01-02 14:30:00-08:00
187,0.23073388350501334,2022-01-02 14:45:00-08:00
188,0.04687064300999677,2022-01-02 15:00:00-08:00
189,0.144356598481135,2022-01-02 15:15:00-08:00
190,0.3182078013174597,2022-01-02 15:30:00-08:00
191,0.3872055206490827,2022-01-02 15:45:00-08:00
192,0.3717437963471233,2022-01-02 16:00:00-08:00
193,0.437980535001363,2022-01-02 16:15:00-08:00
194,0.4785391011559413,2022-01-02 16:30:00-08:00
195,0.5413311458791727,2022-01-02 16:45:00-08:00
196,0.441890975212551,2022-01-02 17:00:00-08:00
