,Control_current,battery_voltage,station_net_grid_load_kW,station_total_load_kW,station_solar_load_ev,station_solar_grid,station_solar_battery,battery_power,average_cost_per_interval
0,0.0,361.22136623228323,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-10.0,361.22136623228323,2.0000000000000036,12.010000000000003,0.0,0.0,0.0,-10.0,9730.552178694372
2,-7.119999999999998,358.86295424876135,-2.8800000000000017,7.129999999999998,0.0,0.0,0.0,-7.119999999999998,9730.552178694372
3,-6.6,357.2184612643054,-3.4000000000000004,6.609999999999999,0.0,0.0,0.0,-6.6,9730.552178694372
4,-6.6,355.6850677945325,-3.4000000000000004,6.609999999999999,0.0,0.0,0.0,-6.6,9730.552178694372
5,-5.799999999999998,354.16668709716686,-4.200000000000002,5.809999999999998,0.0,0.0,0.0,-5.799999999999998,9730.552178694372
6,-10.0,352.86668368087777,1.8800000000000008,11.89,0.0,0.0,0.0,-10.0,9730.552178694372
7,10.0,350.7848414831659,-10.0,0.01,0.0,0.0,0.0,10.0,9730.552178694372
8,10.0,352.8666883344444,-10.0,0.01,0.0,0.0,0.0,10.0,9730.552178694372
9,10.0,355.1305717197578,-10.0,0.01,0.0,0.0,0.0,10.0,9730.552178694372
10,10.0,357.456117550788,-10.0,0.01,0.0,0.0,0.0,10.0,9730.552178694372
11,-4.4,359.7833980097486,-5.6,4.41,0.0,0.0,0.0,-4.4,9730.552178694372
12,-6.6,358.75886219471215,-3.4000000000000004,6.609999999999999,0.0,0.0,0.0,-6.6,9730.552178694372
13,-6.6,357.2185117812919,-3.4000000000000004,6.609999999999999,0.0,0.0,0.0,-6.6,9730.552178694372
14,-6.6,355.68505331056775,-3.4000000000000004,6.609999999999999,0.0,0.0,0.0,-6.6,9730.552178694372
15,-6.6,354.1666241914317,-3.4000000000000004,6.609999999999999,0.0,0.0,0.0,-6.6,9730.552178694372
16,-6.6,352.69478820648595,-3.4000000000000004,6.609999999999999,0.0,0.0,0.0,-6.6,9730.552178694372
17,-6.6,351.3081452872073,-3.4000000000000004,6.609999999999999,0.0,0.0,0.0,-6.6,9730.552178694372
18,-10.0,350.0004354922723,35.120000000000005,45.13,0.0,0.0,0.0,-10.0,9730.552178694372
19,-6.6,348.23100446482664,-3.4000000000000004,6.609999999999999,0.0,0.0,0.0,-6.6,9730.552178694372
20,-6.6,347.177674776179,-3.4000000000000004,6.609999999999999,0.0,0.0,0.0,-6.6,9730.552178694372
21,-4.7333333333333325,346.1809299047105,-5.2666666666666675,6.609999999999999,1.866666666666667,0.0,0.0,-4.7333333333333325,9730.552178694372
22,-4.7333333333333325,345.4971757141521,-5.2666666666666675,6.609999999999999,1.866666666666667,0.0,0.0,-4.7333333333333325,9730.552178694372
23,5.400000000000005,344.82227031339,-15.400000000000006,4.209999999999995,4.199999999999995,0.0,5.400000000000005,5.400000000000005,9730.552178694372
24,2.12,345.5944928786642,-12.120000000000001,7.489999999999999,7.4799999999999995,0.0,2.12,2.12,9730.552178694372
25,10.0,345.90271265469426,-22.160000000000004,8.649999999999999,8.639999999999999,2.160000000000002,10.0,10.0,9730.552178694372
26,-10.0,347.3978965310756,30.040000000000003,60.85,20.8,0.0,0.0,-10.0,9730.552178694372
27,10.0,345.90269678875904,-37.0,6.609999999999999,6.6,17.0,10.0,10.0,9730.552178694372
28,0.8400000000000034,347.39791136659977,-10.840000000000003,32.769999999999996,32.76,0.0,0.8400000000000034,0.8400000000000034,9730.552178694372
29,0.0,347.5336415507983,123.57333333333332,180.64999999999998,47.06666666666667,0.0,0.0,0.0,9730.552178694372
30,-10.0,347.5336415507983,85.61333333333334,142.69,47.06666666666667,0.0,0.0,-10.0,9730.552178694372
31,-5.573333333333519,346.0199625823756,-3.7866666666666617,66.89000000000001,60.66666666666667,0.0,0.0,-5.573333333333519,9730.552178694372
32,10.0,345.2173509089114,13.97333333333333,84.65,55.66666666666667,0.0,5.0,10.0,9730.552178694372
33,10.0,346.6727040566754,34.66666666666664,118.80999999999999,69.13333333333334,0.0,5.0,10.0,9730.552178694372
34,10.0,348.25196213156266,309.9866666666667,394.13,69.13333333333334,0.0,5.0,10.0,9730.552178694372
35,10.0,350.0260926807868,72.51999999999995,162.52999999999994,75.0,0.0,5.0,10.0,9730.552178694372
36,10.0,352.03719500423614,36.39999999999996,126.40999999999997,75.0,0.0,5.0,10.0,9730.552178694372
37,10.0,354.2390706791276,43.35999999999996,133.36999999999995,75.0,0.0,5.0,10.0,9730.552178694372
38,10.0,356.5491094955699,30.19999999999996,120.20999999999997,75.0,0.0,5.0,10.0,9730.552178694372
39,10.0,358.8695250229424,37.59999999999995,127.60999999999996,75.0,0.0,5.0,10.0,9730.552178694372
40,10.0,361.22382968277407,47.319999999999965,137.32999999999996,75.0,0.0,5.0,10.0,9730.552178694372
41,10.0,363.73354844462244,62.11999999999992,152.1299999999999,75.0,0.0,5.0,10.0,9730.552178694372
42,10.0,366.4770349113257,86.91999999999993,176.92999999999992,75.0,0.0,5.0,10.0,9730.552178694372
43,10.0,369.08387044893584,236.2399999999999,326.2499999999999,75.0,0.0,5.0,10.0,9730.552178694372
44,10.0,371.35145342642517,138.95999999999992,228.9699999999999,75.0,0.0,5.0,10.0,9730.552178694372
45,10.0,373.5773387181638,129.23999999999987,219.24999999999986,75.0,0.0,5.0,10.0,9730.552178694372
46,10.0,375.97752846130834,194.55999999999983,284.5699999999998,75.0,0.0,5.0,10.0,9730.552178694372
47,10.0,378.6373465961676,203.47999999999985,293.48999999999984,75.0,0.0,5.0,10.0,9730.552178694372
