,Control_current,battery_voltage,station_net_grid_load_kW,station_total_load_kW,station_solar_load_ev,station_solar_grid,station_solar_battery,battery_power,average_cost_per_interval
0,0.0,361.22136623228323,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-12.0,360.4164877276671,12.000000000000004,12.010000000000003,0.0,0.0,0.0,-11.926448821723866,8013.747578756804
2,-7.119999999999998,359.9585561635501,7.119999999999998,7.129999999999998,0.0,0.0,0.0,-7.093895755506544,8013.747578756804
3,-6.6,359.52551804198146,6.6,6.609999999999999,0.0,0.0,0.0,-6.577494472478009,8013.747578756804
4,-6.6,359.1040423615972,6.6,6.609999999999999,0.0,0.0,0.0,-6.577428274585515,8013.747578756804
5,-5.799999999999998,358.73633751890566,5.799999999999998,5.809999999999998,0.0,0.0,0.0,-5.782509945872427,8013.747578756804
6,-11.88,357.93247457935973,11.88,11.89,0.0,0.0,0.0,-11.806637472551525,8013.747578756804
7,0.0,357.98212904122096,0.0,0.01,0.0,0.0,0.0,0.0,8013.747578756804
8,0.0,357.9827365408972,0.0,0.01,0.0,0.0,0.0,0.0,8013.747578756804
9,0.0,357.982738084891,0.0,0.01,0.0,0.0,0.0,0.0,8013.747578756804
10,0.0,357.98273808881515,0.0,0.01,0.0,0.0,0.0,0.0,8013.747578756804
11,-4.4,357.6802918183639,4.4,4.41,0.0,0.0,0.0,-4.389849871423735,8013.747578756804
12,-6.6,357.24278565247926,6.6,6.609999999999999,0.0,0.0,0.0,-6.577135291069333,8013.747578756804
13,-6.6,356.8052534203974,6.6,6.609999999999999,0.0,0.0,0.0,-6.577063756606292,8013.747578756804
14,-6.6,356.3807157055132,6.6,6.609999999999999,0.0,0.0,0.0,-6.576995805914098,8013.747578756804
15,-6.6,355.9452426248176,6.6,6.609999999999999,0.0,0.0,0.0,-6.576926313328597,8013.747578756804
16,-6.6,355.52106118085317,6.6,6.609999999999999,0.0,0.0,0.0,-6.576858131486785,8013.747578756804
17,-6.6,355.08292741812096,6.6,6.609999999999999,0.0,0.0,0.0,-6.576787997405317,8013.747578756804
18,-45.120000000000005,351.9979770933536,45.120000000000005,45.13,0.0,0.0,0.0,-44.05122882385829,8013.747578756804
19,-6.6,351.83405031017935,6.6,6.609999999999999,0.0,0.0,0.0,-6.5762226968906194,8013.747578756804
20,-6.6,351.4417335895976,6.6,6.609999999999999,0.0,0.0,0.0,-6.576193778226235,8013.747578756804
21,-4.7333333333333325,351.1790956107226,4.7333333333333325,6.609999999999999,1.866666666666667,0.0,0.0,-4.721042962033595,8013.747578756804
22,-4.733333333333363,350.90681018185165,4.7333333333333325,6.609999999999999,1.866666666666667,0.0,0.0,-4.72102068684139,8013.747578756804
23,5.399999999999987,351.3655833755464,-5.400000000000005,4.209999999999995,4.199999999999995,0.0,5.400000000000005,5.416125199825784,8013.747578756804
24,2.1199999999999477,351.4422274409042,-2.12,7.489999999999999,7.4799999999999995,0.0,2.12,2.1224782994365006,8013.747578756804
25,12.159999999999954,352.2799816797892,-12.160000000000002,8.649999999999999,8.639999999999999,0.0,12.160000000000009,12.24180679074782,8013.747578756804
26,-40.04000000000026,349.3145506089845,40.040000000000006,60.85,20.8,0.0,0.0,-39.179077302857756,8013.747578756804
