,SOC,SOC_pred,SOH,Voltage_pack,currents_pack,cycle_aging,calendar_aging,power_kW,pred_power_kW
0,0.6,0.6,1.0,361.22136623228323,0.0,0.0,0.0,0.0,0.0
1,0.5672746941054185,0.57,0.9999999257128839,358.0402722844122,-33.01328858645376,7.241965337572383e-08,1.8674627395618584e-09,-11.820086834497783,-12.0
2,0.547643566193238,0.5521999999999999,0.9999998714141003,356.2335761672183,-19.803880366634505,5.250828442726587e-08,1.7904991149675932e-09,-7.054807124993972,-7.119999999999998
3,0.5293483702169363,0.5357,0.9999998200679373,354.524226484595,-18.456191327686916,4.960991783999084e-08,1.7362451015742183e-09,-6.5431669542998945,-6.6
4,0.5109658568006319,0.5192,0.9999997692446058,352.7997144097044,-18.544276197657375,4.9140072280568896e-08,1.6832592213013169e-09,-6.5424153464682,-6.6
5,0.49472952531740255,0.5047,0.9999997219526982,351.3554620836362,-16.3792074206904,4.5657543753265104e-08,1.634363900808334e-09,-5.754923991860398,-5.799999999999998
6,0.46145464201520414,0.47500000000000003,0.9999996521405743,348.248800278123,-33.56769294184872,6.824798244301375e-08,1.564141449138407e-09,-11.689908795103232,-11.88
7,0.46145464201520414,0.47500000000000003,0.9999996506122237,349.03595432609524,0.0,0.0,1.528350503255334e-09,0.0,0.0
8,0.46145464201520414,0.47500000000000003,0.9999996490716894,349.0384034202921,0.0,0.0,1.540534400135438e-09,0.0,0.0
9,0.46145464201520414,0.47500000000000003,0.999999647531117,349.0384096447997,0.0,0.0,1.5405722866993408e-09,0.0,0.0
10,0.46145464201520414,0.47500000000000003,0.9999996459905447,349.0384096606196,0.0,0.0,1.540572382990125e-09,0.0,0.0
11,0.4489892851602549,0.464,0.9999996046153632,347.76968307085724,-12.575047543585526,3.985418612814515e-08,1.5209954171443495e-09,-4.3732202988337,-4.4
12,0.4302683083336997,0.4475,0.9999995530463601,346.2632044215061,-18.885713955504727,5.0090830203594865e-08,1.4781728742127267e-09,-6.5394278320210235,-6.6
13,0.4114840415522214,0.431,0.9999995007888438,345.06503376091956,-18.94955985957681,5.082107723418384e-08,1.4364390378976902e-09,-6.5388305126994375,-6.6
14,0.3926398410116141,0.4145,0.999999447781767,343.9379637333515,-19.010020015345837,5.160651721894835e-08,1.4005596305690051e-09,-6.538267574608303,-6.6
15,0.3737368996957623,0.39799999999999996,0.9999993939254715,342.8403023677052,-19.06927666902319,5.249006424951374e-08,1.3662311224447976e-09,-6.537716579141336,-6.6
16,0.35477452209031685,0.38149999999999995,0.9999993391015211,341.73688367305556,-19.129234934624304,5.3491682896554945e-08,1.3322675639844954e-09,-6.537165133608256,-6.6
17,0.3357467551509545,0.36499999999999994,0.9999992831227081,340.5319326950343,-19.195198602342803,5.4682164409726604e-08,1.2966484832704572e-09,-6.536578078520815,-6.6
18,0.20800569248545522,0.2521999999999999,0.9999990801779264,327.7101967282817,-128.86509163643152,2.0186457077387915e-07,1.0802110121186317e-09,-42.23040453158301,-45.120000000000005
19,0.1882672904238901,0.2356999999999999,0.9999990008089652,327.9708693146997,-19.912081684117798,7.848257242636393e-08,8.863887072706351e-10,-6.530582739805424,-6.6
20,0.1684336937087038,0.2191999999999999,0.9999989196265077,326.365993851064,-20.00811237433345,8.031681042935064e-08,8.656471114393816e-10,-6.5299674801331085,-6.6
21,0.15403242928521363,0.20736666666666656,0.9999988458052558,323.2638057229263,-14.52797985475561,7.302823664269339e-08,7.930152102380899e-10,-4.696370057314304,-4.7333333333333325
22,0.15978736498287205,0.21203333333333324,0.9999987966120857,322.54448534092376,5.805572431028904,4.845912235127942e-08,7.340477832771487e-10,1.8725553718756736,1.866666666666667
23,0.18942595139253918,0.23603333333333323,0.9999986873347667,326.29454943491356,29.89936998948842,1.0849650563642285e-07,7.808133885347908e-10,9.7560014591079,9.6
24,0.21856154302173725,0.2600333333333332,0.9999985929501389,331.74091032242126,29.391946253698368,9.346190979310099e-08,9.227179576229605e-10,9.750511006349576,9.6
25,0.2817155900497955,0.3120333333333332,0.9999984662807623,337.5233740563436,63.70971299903625,1.2557339336357095e-07,1.0959832778399466e-09,21.503517291596008,20.8
26,0.16647270813140896,0.2119333333333332,0.9999982622071814,324.08736889778186,-116.25684097364137,2.0309569490173826e-07,9.7788602808833e-10,-37.67737370751527,-40.040000000000006
27,0.2714259919213083,0.2959333333333332,0.9999980659415176,335.6959351559633,105.8766886951814,1.953159758688236e-07,9.496879043375079e-10,35.54237402274573,33.6
28,0.3728708815607769,0.37993333333333323,0.9999979135633118,345.9328664222421,102.33740674138356,1.5109143299604202e-07,1.2867727953644155e-09,35.4018724562657,33.6
29,0.17355648341312213,0.2,0.9999976333298319,322.9283339532045,-201.0679453349409,2.7914371628507347e-07,1.0897635281097748e-09,-64.93053659840646,-71.97333333333329
30,0.17355648341312213,0.2,0.9999976325477552,325.9925745571164,0.0,0.0,7.820767334796925e-10,0.0,0.0
31,0.17355648341312213,0.2,0.9999976317181702,326.007207221128,0.0,0.0,8.295849973149099e-10,0.0,0.0
32,0.6489273077681991,0.5551666666666665,0.9999970913254627,377.0652009504335,479.5529518901695,5.387750512588115e-07,1.6176563462495239e-09,180.82273017084034,142.06666666666658
33,0.857381086504601,0.7404999999999998,0.9999966869251525,386.2400110576619,210.2875603294308,4.018532371290749e-07,2.54707295004851e-09,81.22146962692808,74.13333333333334
34,0.4888892694027721,0.3556333333333329,0.9999961783255344,355.8582241778067,-371.73331350795365,5.063797773759018e-07,2.219840693314285e-09,-132.28435681267226,-153.94666666666677
