,SOC,SOC_pred,SOH,Voltage_pack,currents_pack,cycle_aging,calendar_aging,power_kW,pred_power_kW
75,0.3405022608190902,0.34050489557243435,0.9999904255711399,341.4681053347406,-3.979039320256561e-13,7.477316191739076e-15,1.3070282962573308e-09,-1.358715017740442e-13,-1.4373140195550506e-13
76,0.34050226081908985,0.3405048955724325,0.9999904242641866,341.46809188641265,-3.410605131648481e-13,6.922992067389368e-15,1.3069464406356498e-09,-1.164612826482014e-13,-1.2319834453329006e-13
77,0.34050226081909096,0.3405048955724349,0.9999904229572277,341.46809185223304,1.1368683772161603e-12,1.2639597991696562e-14,1.3069462325950865e-09,3.8820427545514694e-13,0.0
78,0.3405022608190907,0.3405048955724339,0.9999904216502752,341.4680918521462,-2.8421709430404007e-13,6.319798997867847e-15,1.3069462320663407e-09,-9.705106886376206e-14,-1.0266528711107504e-13
79,0.19999601942873724,0.2,0.9999902044996439,326.75514819539603,-141.7413386534723,2.160707116723544e-07,1.0799195413857204e-09,-46.31471211712916,-51.2
80,0.19999601942873724,0.2,0.9999902036041949,329.5130889082716,0.0,0.0,8.954489949928049e-10,0.0,0.0
81,0.19999601942873724,0.2,0.9999902026660303,329.5234174907328,0.0,0.0,9.381645134975618e-10,0.0,0.0
82,0.5320335254205769,0.5320342537512424,0.9999898251194169,365.0757865409143,334.95615433510665,3.7605970206445796e-07,1.4869113682075392e-09,122.28438150060894,120.99331969683874
83,0.5320335254205769,0.5320342537512417,0.9999898232407167,354.91411718468663,0.0,0.0,1.8787001672426756e-09,0.0,0.0
84,0.4059071441965624,0.4059091560850473,0.9999896579492722,342.3245265844012,-127.234998525656,1.6376380557719124e-07,1.5276389943589277e-09,-43.55566063526217,-45.96
85,0.4059071441965624,0.40590915608504663,0.9999896565661206,345.5503080473176,0.0,0.0,1.3831516198263693e-09,0.0,0.0
86,0.4059071441965624,0.4059091560850482,0.9999896551330508,345.5595794062541,0.0,0.0,1.4330697975515293e-09,0.0,0.0
87,0.27429221250811375,0.27429558593555564,0.9999894657148135,331.97170033770794,-132.77176956680725,1.8819469098999804e-07,1.223546370814927e-09,-44.07647009993935,-47.96
88,0.27429221250811286,0.27429558593555475,0.9999894646468782,335.47400169922497,-8.959943897934864e-13,1.349708110024454e-14,1.067921814381242e-09,-3.005828234440761e-13,-3.2365231761766407e-13
89,0.27429221250811286,0.2742955859355565,0.9999894635247651,335.48367667622944,0.0,0.0,1.1221130343355605e-09,0.0,0.0
90,0.27429221250811286,0.27429558593555625,0.9999894624025024,335.48370126571547,0.0,0.0,1.1222627025822929e-09,0.0,0.0
91,0.21117411383706453,0.21117815237762622,0.9999893277585021,328.79601011658934,-63.67286697323952,1.3362493098665925e-07,1.0190692939196406e-09,-20.935384613485507,-23.000000000000004
92,0.5371745261700684,0.5371750863972421,0.999988956395559,365.1528949738693,328.8657061898403,3.698860661476755e-07,1.4768769916738868e-09,120.08626467284611,118.79331969683875
93,0.48283804851484996,0.4828392088125891,0.9999888592292545,349.9805716230363,-54.814033307397494,9.536254102457377e-08,1.8037633717555369e-09,-19.183846709887128,-19.8
