Other Slow,Other Fast,Total
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,150.0,150.0
0.0,150.0,150.0
0.0,150.0,150.0
0.0,150.0,150.0
0.0,150.0,150.0
0.0,150.0,150.0
0.0,132.60000000000005,132.60000000000005
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
6.6,0.0,6.6
