,Control_current,battery_voltage,station_net_grid_load_kW,station_total_load_kW,station_solar_load_ev,station_solar_grid,station_solar_battery,battery_power,average_cost_per_interval
0,0.0,361.22136623228323,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-12.0,361.22136623228323,12.000000000000004,12.010000000000003,0.0,0.0,0.0,-12.0,9785.938688387496
2,-7.119999999999998,355.6201097380058,7.119999999999998,7.129999999999998,0.0,0.0,0.0,-7.119999999999998,9785.938688387496
3,-6.6,352.4133350859552,6.6,6.609999999999999,0.0,0.0,0.0,-6.6,9785.938688387496
4,-6.6,349.7565494190102,6.6,6.609999999999999,0.0,0.0,0.0,-6.6,9785.938688387496
5,-5.799999999999998,347.4936096098225,5.799999999999998,5.809999999999998,0.0,0.0,0.0,-5.799999999999998,9785.938688387496
6,-11.88,345.75590684309884,11.88,11.89,0.0,0.0,0.0,-11.88,9785.938688387496
7,0.0,342.1826128275499,0.0,0.01,0.0,0.0,0.0,0.0,9785.938688387496
8,11.666666666667155,342.1826128275499,0.0,0.01,0.0,0.0,0.0,11.666666666667155,9785.938688387496
9,25.0,345.6999177118444,0.0,0.01,0.0,0.0,0.0,25.0,9785.938688387496
10,25.0,355.00405539771435,0.0,0.01,0.0,0.0,0.0,25.0,9785.938688387496
11,-4.4,367.3819174759358,4.4,4.41,0.0,0.0,0.0,-4.4,9785.938688387496
12,-6.6,364.95860070209426,6.6,6.609999999999999,0.0,0.0,0.0,-6.6,9785.938688387496
13,-6.6,361.5439675268815,6.6,6.609999999999999,0.0,0.0,0.0,-6.6,9785.938688387496
14,-6.6,358.44545676954,6.6,6.609999999999999,0.0,0.0,0.0,-6.6,9785.938688387496
15,-6.6,355.3771824920325,6.6,6.609999999999999,0.0,0.0,0.0,-6.6,9785.938688387496
16,-6.6,352.40508012474965,6.6,6.609999999999999,0.0,0.0,0.0,-6.6,9785.938688387496
17,-6.6,349.7532490827318,6.6,6.609999999999999,0.0,0.0,0.0,-6.6,9785.938688387496
18,-25.0,347.4907776317466,45.120000000000005,45.13,0.0,0.0,0.0,-25.0,9785.938688387496
19,-6.6,339.30625446739697,6.6,6.609999999999999,0.0,0.0,0.0,-6.6,9785.938688387496
20,-6.6,336.1297604927097,6.6,6.609999999999999,0.0,0.0,0.0,-6.6,9785.938688387496
21,-4.7333333333333485,332.5776141256475,4.7333333333333325,6.609999999999999,1.866666666666667,0.0,0.0,-4.7333333333333485,9785.938688387496
22,-4.7333333333333485,331.0915867371136,4.7333333333333325,6.609999999999999,1.866666666666667,0.0,0.0,-4.7333333333333485,9785.938688387496
23,5.399999999999988,329.5223979881548,-5.400000000000005,4.209999999999995,4.199999999999995,0.0,5.400000000000005,5.399999999999988,9785.938688387496
24,2.1199999999999832,331.2828230227911,-2.12,7.489999999999999,7.4799999999999995,0.0,2.12,2.1199999999999832,9785.938688387496
25,12.159999999999984,331.9222658605148,-12.160000000000002,8.649999999999999,8.639999999999999,0.0,12.160000000000009,12.159999999999984,9785.938688387496
26,-14.306666666666707,338.02977397978276,40.040000000000006,60.85,20.8,0.0,0.0,-14.306666666666707,9785.938688387496
27,25.0,331.2786587252582,-27.0,6.609999999999999,6.6,2.0,25.0,25.0,9785.938688387496
28,0.8400000000000536,342.31444043966275,-0.8400000000000034,32.769999999999996,32.76,0.0,0.8400000000000107,0.8400000000000536,9785.938688387496
29,0.0,342.6035569320601,133.57333333333332,180.64999999999998,47.06666666666667,0.0,0.0,0.0,9785.938688387496
30,-25.0,342.6035569320601,95.61333333333334,142.69,47.06666666666667,0.0,0.0,-25.0,9785.938688387496
31,-6.213333333333171,331.52777186722085,6.213333333333338,66.89000000000001,60.66666666666667,0.0,0.0,-6.213333333333171,9785.938688387496
32,25.0,329.5219460300444,23.97333333333333,84.65,35.66666666666667,0.0,25.0,25.0,9785.938688387496
33,0.0,340.2373500788627,44.66666666666664,118.80999999999999,74.13333333333334,0.0,0.0,0.0,9785.938688387496
34,-25.0,340.2373500788627,319.9866666666667,394.13,74.13333333333334,0.0,0.0,-25.0,9785.938688387496
35,25.0,329.5217486689988,82.51999999999995,162.52999999999994,67.5,0.0,12.5,25.0,9785.938688387496
36,-25.0,340.23749721651086,46.39999999999996,126.40999999999997,80.0,0.0,0.0,-25.0,9785.938688387496
37,0.0,329.5216423741758,53.35999999999996,133.36999999999995,80.0,0.0,0.0,0.0,9785.938688387496
38,25.0,329.5216423741758,40.19999999999996,120.20999999999997,67.5,0.0,12.5,25.0,9785.938688387496
39,0.0,340.237813196122,47.59999999999995,127.60999999999996,80.0,0.0,0.0,0.0,9785.938688387496
40,0.0,340.237813196122,57.319999999999965,137.32999999999996,80.0,0.0,0.0,0.0,9785.938688387496
41,-25.0,340.237813196122,72.11999999999992,152.1299999999999,80.0,0.0,0.0,-25.0,9785.938688387496
42,0.0,329.52128700421474,96.91999999999993,176.92999999999992,80.0,0.0,0.0,0.0,9785.938688387496
43,25.0,329.52128700421474,246.2399999999999,326.2499999999999,67.5,0.0,12.5,25.0,9785.938688387496
44,0.0,340.23817248308177,148.95999999999992,228.9699999999999,80.0,0.0,0.0,0.0,9785.938688387496
45,25.0,340.23817248308177,139.23999999999987,219.24999999999986,67.5,0.0,12.5,25.0,9785.938688387496
46,25.0,348.2555394230214,204.55999999999983,284.5699999999998,67.5,0.0,12.5,25.0,9785.938688387496
47,25.0,358.885562685955,213.47999999999985,293.48999999999984,67.5,0.0,12.5,25.0,9785.938688387496
48,14.9999999999995,371.35958144691347,149.59999999999985,229.60999999999984,72.50000000000026,0.0,7.49999999999975,14.9999999999995,9785.938688387496
49,25.0,378.6467700134052,161.8399999999999,241.84999999999988,67.5,0.0,12.5,25.0,9785.938688387496
50,0.0,388.92684180835795,192.15999999999997,272.16999999999996,80.0,0.0,0.0,0.0,9785.938688387496
51,0.0,388.92684180835795,187.0399999999999,267.0499999999999,80.0,0.0,0.0,0.0,9785.938688387496
52,0.0,388.92684180835795,86.19999999999993,166.20999999999992,80.0,0.0,0.0,0.0,9785.938688387496
53,-25.0,388.92684180835795,74.91999999999996,154.92999999999995,80.0,0.0,0.0,-25.0,9785.938688387496
54,-25.0,378.64574956392005,89.23999999999995,169.24999999999994,80.0,0.0,0.0,-25.0,9785.938688387496
55,0.0,366.48398691279107,49.559999999999945,129.56999999999994,80.0,0.0,0.0,0.0,9785.938688387496
