,Control_current,battery_voltage,station_net_grid_load_kW,station_total_load_kW,station_solar_load_ev,station_solar_grid,station_solar_battery,battery_power,average_cost_per_interval
0,0.0,361.22136623228323,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-12.0,360.8187675118476,-20.52292400066121,12.010000000000003,0.0,0.0,0.0,-11.944491734880167,6983.1813273203925
2,-7.119999999999998,360.58841413997635,-25.402924000661216,7.129999999999998,0.0,0.0,0.0,-7.100367738141023,6983.1813273203925
3,-6.6,360.3706213753793,-25.92292400066121,6.609999999999999,0.0,0.0,0.0,-6.583103460117641,6983.1813273203925
4,-6.6,360.1564121776885,-25.92292400066121,6.609999999999999,0.0,0.0,0.0,-6.5830801013580205,6983.1813273203925
5,-5.799999999999998,359.9783989562915,-26.722924000661216,5.809999999999998,0.0,0.0,0.0,-5.786911550074558,6983.1813273203925
6,-11.88,359.57323102212666,-20.64292400066121,11.89,0.0,0.0,0.0,-11.825146185579559,6983.1813273203925
7,0.0,359.589779507206,-32.52292400066121,0.01,0.0,0.0,0.0,0.0,6983.1813273203925
8,0.0,359.5900823451332,-32.52292400066121,0.01,0.0,0.0,0.0,0.0,6983.1813273203925
9,0.0,359.5900831148125,-32.52292400066121,0.01,0.0,0.0,0.0,0.0,6983.1813273203925
10,0.0,359.59008311676865,-32.52292400066121,0.01,0.0,0.0,0.0,0.0,6983.1813273203925
11,-4.4,359.4404720056649,-28.122924000661214,4.41,0.0,0.0,0.0,-4.392436491236716,6983.1813273203925
12,-6.6,359.2310639787658,-25.92292400066121,6.609999999999999,0.0,0.0,0.0,-6.582978749073563,6983.1813273203925
13,-6.6,359.0199891039751,-25.92292400066121,6.609999999999999,0.0,0.0,0.0,-6.582954255958822,6983.1813273203925
14,-6.6,358.8011778389024,-25.92292400066121,6.609999999999999,0.0,0.0,0.0,-6.582930028294473,6983.1813273203925
15,-6.6,358.58492938956084,-25.92292400066121,6.609999999999999,0.0,0.0,0.0,-6.58290601526165,6983.1813273203925
16,-6.6,358.37130367771925,-25.92292400066121,6.609999999999999,0.0,0.0,0.0,-6.5828822214554465,6983.1813273203925
17,-6.6,358.15022907979284,-25.92292400066121,6.609999999999999,0.0,0.0,0.0,-6.582857687872944,6983.1813273203925
18,-45.120000000000005,356.647809336116,12.597075999338792,45.13,0.0,0.0,0.0,-44.3292169493307,6983.1813273203925
19,-6.6,356.4956842461516,-25.92292400066121,6.609999999999999,0.0,0.0,0.0,-6.582654226126492,6983.1813273203925
20,-6.6,356.2838085095452,-25.92292400066121,6.609999999999999,0.0,0.0,0.0,-6.582648190145867,6983.1813273203925
21,-4.7333333333333325,356.12738035536955,-27.78959066732788,6.609999999999999,1.866666666666667,0.0,0.0,-4.724389025234291,6983.1813273203925
22,-4.7333333333333325,355.98555852364706,-27.78959066732788,6.609999999999999,1.866666666666667,0.0,0.0,-4.7243813101396945,6983.1813273203925
23,5.400000000000005,356.17605111128097,-37.92292400066122,4.209999999999995,4.199999999999995,0.0,5.400000000000005,5.411704178472005,6983.1813273203925
24,2.12,356.2454668406752,-34.64292400066121,7.489999999999999,7.4799999999999995,0.0,2.12,2.121800693459189,6983.1813273203925
25,12.160000000000002,356.655141582954,-44.68292400066122,8.649999999999999,8.639999999999999,0.0,12.160000000000002,12.219418514019615,6983.1813273203925
26,-40.040000000000006,355.25940939764115,7.51707599933879,60.85,20.8,0.0,0.0,-39.40991928918582,6983.1813273203925
27,27.0,356.2949545829968,-59.52292400066121,6.609999999999999,6.6,0.0,27.0,27.296231796802168,6983.1813273203925
28,0.8400000000000034,356.25944354672,-33.362924000661216,32.769999999999996,32.76,0.0,0.8400000000000034,0.8402839841427218,6983.1813273203925
29,-133.57333333333332,351.78516380868047,101.0504093326721,180.64999999999998,47.06666666666667,0.0,0.0,-126.77980651838517,6983.1813273203925
30,-95.61333333333334,348.86545788451366,63.09040933267212,142.69,47.06666666666667,0.0,0.0,-91.99161936857607,6983.1813273203925
31,-6.213333333333338,349.3352084032414,-26.309590667327875,66.89000000000001,60.66666666666667,0.0,0.0,-6.19719646630106,6983.1813273203925
32,176.02666666666667,356.169250482981,-8.549590667327884,84.65,60.66666666666667,0.0,0.0,189.94900461127185,6983.1813273203925
33,155.33333333333337,360.72453532153673,12.143742666005423,118.80999999999999,74.13333333333334,0.0,0.0,165.67161800544903,6983.1813273203925
34,-119.98666666666668,356.4295298925333,287.4637426660055,394.13,74.13333333333334,0.0,0.0,-114.61890329777077,6983.1813273203925
35,117.48000000000005,360.82774244656855,49.99707599933873,162.52999999999994,80.0,0.0,0.0,123.23972246563602,6983.1813273203925
36,153.60000000000002,366.02651556508823,13.877075999338757,126.40999999999997,0.0,0.0,80.0,163.319274412692,6983.1813273203925
37,146.64000000000004,371.34536277330557,20.837075999338737,133.36999999999995,80.0,0.0,0.0,155.13478246613607,6983.1813273203925
38,159.80000000000004,376.70228177317586,7.67707599933874,120.20999999999997,80.0,0.0,0.0,169.5857057884123,6983.1813273203925
39,152.40000000000003,381.5119196861249,15.077075999338746,127.60999999999996,80.0,0.0,0.0,160.95457398854478,6983.1813273203925
40,142.68000000000004,386.84075323054503,24.797075999338745,137.32999999999996,0.0,0.0,80.0,149.860921956596,6983.1813273203925
41,127.88000000000008,390.67276255309014,39.5970759993387,152.1299999999999,80.0,0.0,0.0,133.4410033020055,6983.1813273203925
42,103.08000000000007,391.76046882248727,64.39707599933871,176.92999999999992,80.0,0.0,0.0,106.60263971498802,6983.1813273203925
43,-46.239999999999895,389.2751924936458,213.7170759993387,326.2499999999999,80.0,0.0,0.0,-45.572594609653926,6983.1813273203925
44,0.0,389.7270608551867,116.4370759993387,228.9699999999999,80.0,0.0,0.0,0.0,6983.1813273203925
45,10.493333333331734,389.99929242926754,106.71707599933865,219.24999999999986,69.50666666666827,0.0,10.493333333331734,10.528532987522992,6983.1813273203925
46,-4.559999999999832,389.7637634765212,172.0370759993386,284.5699999999998,80.0,0.0,0.0,-4.55339529123785,6983.1813273203925
47,-13.479999999999848,389.4627723040868,180.95707599933866,293.48999999999984,80.0,0.0,0.0,-13.422373857987179,6983.1813273203925
