,50.0,100.0,200.0,400.0,800.0
0.1,9.374399759975636e-06,8.773000783446959e-06,8.868482718207041e-06,9.1660355727986e-06,9.390188353548082e-06
0.2,8.198266525366662e-06,8.098262380656586e-06,8.565308327288523e-06,9.604135665501838e-06,9.4025352541426e-06
0.5,8.596887755967403e-06,8.739048324921214e-06,8.4666079576124e-06,7.605958575802731e-06,9.126345944270684e-06
1.0,8.765840103472506e-06,8.984373460101471e-06,6.6605512629253825e-06,9.624607886284246e-06,9.436141049597696e-06
2.0,1.1855435171219735e-05,7.958467927946874e-06,7.362839314210102e-06,9.227010758042433e-06,9.212613560843978e-06
