,50.0,100.0,200.0,400.0,800.0
0.1,1.1685350260382803e-05,1.177136865185848e-05,1.2566384785653162e-05,1.2959690834847545e-05,1.3443680706575383e-05
0.2,1.2116092137584006e-05,9.733411249792663e-06,1.1308655990355881e-05,1.3396416666347955e-05,1.4130589366498127e-05
0.5,8.864406812819336e-06,9.311234408899041e-06,1.2173176357055016e-05,1.3377522291661047e-05,1.3731828794069101e-05
1.0,9.883769886880129e-06,1.1636980687352421e-05,1.1451766631310662e-05,1.3435308355481805e-05,1.3901079478664628e-05
2.0,9.773644410275818e-06,1.0955075011209378e-05,1.364999709252564e-05,1.3955059796339678e-05,1.3602171815566946e-05
