,Control_current,battery_voltage,station_net_grid_load_kW,station_total_load_kW,station_solar_load_ev,station_solar_grid,station_solar_battery,battery_power,average_cost_per_interval
0,0.0,361.22136623228323,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-10.0,361.22136623228323,12.000000000000004,12.010000000000003,0.0,0.0,0.0,-10.0,9823.746128644303
2,-7.119999999999998,356.5475888076616,7.119999999999998,7.129999999999998,0.0,0.0,0.0,-7.119999999999998,9823.746128644303
3,-6.6,353.28567728539366,6.6,6.609999999999999,0.0,0.0,0.0,-6.6,9823.746128644303
4,-6.6,350.5138834940549,6.6,6.609999999999999,0.0,0.0,0.0,-6.6,9823.746128644303
5,0.0,348.1424286639673,5.799999999999998,5.809999999999998,0.0,0.0,0.0,0.0,9823.746128644303
6,-10.0,348.1424286639673,11.88,11.89,0.0,0.0,0.0,-10.0,9823.746128644303
7,10.0,345.12443256516696,0.0,0.01,0.0,0.0,0.0,10.0,9823.746128644303
8,10.0,348.14243115658985,0.0,0.01,0.0,0.0,0.0,10.0,9823.746128644303
9,10.0,351.90465722079625,0.0,0.01,0.0,0.0,0.0,10.0,9823.746128644303
10,2.5866666666667086,356.4016730785425,0.0,0.01,0.0,0.0,0.0,2.5866666666667086,9823.746128644303
11,0.0,357.6033482165863,4.4,4.41,0.0,0.0,0.0,0.0,9823.746128644303
12,-6.6,357.6033482165863,6.6,6.609999999999999,0.0,0.0,0.0,-6.6,9823.746128644303
13,-6.6,354.5496113810084,6.6,6.609999999999999,0.0,0.0,0.0,-6.6,9823.746128644303
14,-6.6,351.6472395479833,6.6,6.609999999999999,0.0,0.0,0.0,-6.6,9823.746128644303
15,-6.6,349.1000269931911,6.6,6.609999999999999,0.0,0.0,0.0,-6.6,9823.746128644303
16,-6.6,346.9328592019429,6.6,6.609999999999999,0.0,0.0,0.0,-6.6,9823.746128644303
17,-6.6,345.01016424288207,6.6,6.609999999999999,0.0,0.0,0.0,-6.6,9823.746128644303
18,-10.0,343.06974175954673,45.120000000000005,45.13,0.0,0.0,0.0,-10.0,9823.746128644303
19,-6.6,339.30647696568514,6.6,6.609999999999999,0.0,0.0,0.0,-6.6,9823.746128644303
20,-6.6,336.1300053523532,6.6,6.609999999999999,0.0,0.0,0.0,-6.6,9823.746128644303
21,-4.7333333333333325,332.5780467891762,4.7333333333333325,6.609999999999999,1.866666666666667,0.0,0.0,-4.7333333333333325,9823.746128644303
22,-4.7333333333333325,331.091746360678,4.7333333333333325,6.609999999999999,1.866666666666667,0.0,0.0,-4.7333333333333325,9823.746128644303
23,9.6,329.52254908191594,-5.400000000000005,4.209999999999995,0.0,0.0,9.6,9.6,9823.746128644303
24,5.77333333333333,332.63684918805654,-2.12,7.489999999999999,3.8266666666666698,0.0,5.77333333333333,5.77333333333333,9823.746128644303
25,10.0,335.7533523434393,-12.160000000000002,8.649999999999999,8.639999999999999,2.160000000000002,10.0,10.0,9823.746128644303
26,-10.0,340.38385285223,40.040000000000006,60.85,20.8,0.0,0.0,-10.0,9823.746128644303
27,10.0,335.7533066740071,-27.0,6.609999999999999,6.6,17.0,10.0,10.0,9823.746128644303
28,0.8400000000000034,340.38389634849983,-0.8400000000000034,32.769999999999996,32.76,0.0,0.8400000000000034,0.8400000000000034,9823.746128644303
29,-10.0,340.72173314947537,133.57333333333332,180.64999999999998,47.06666666666667,0.0,0.0,-10.0,9823.746128644303
30,-10.0,336.2098592917577,95.61333333333334,142.69,47.06666666666667,0.0,0.0,-10.0,9823.746128644303
31,-6.213333333333338,331.52786121793605,6.213333333333338,66.89000000000001,60.66666666666667,0.0,0.0,-6.213333333333338,9823.746128644303
32,10.0,329.52210014194355,23.97333333333333,84.65,55.66666666666667,0.0,5.0,10.0,9823.746128644303
33,10.0,332.814477334151,44.66666666666664,118.80999999999999,69.13333333333334,0.0,5.0,10.0,9823.746128644303
34,10.0,338.1841896838891,319.9866666666667,394.13,69.13333333333334,0.0,5.0,10.0,9823.746128644303
35,10.0,342.1831445138731,82.51999999999995,162.52999999999994,75.0,0.0,5.0,10.0,9823.746128644303
36,10.0,345.2196631092248,46.39999999999996,126.40999999999997,75.0,0.0,5.0,10.0,9823.746128644303
37,10.0,348.2539309123107,53.35999999999996,133.36999999999995,75.0,0.0,5.0,10.0,9823.746128644303
38,10.0,352.03942453755855,40.19999999999996,120.20999999999997,75.0,0.0,5.0,10.0,9823.746128644303
39,10.0,356.5512251946569,47.59999999999995,127.60999999999996,75.0,0.0,5.0,10.0,9823.746128644303
40,10.0,361.22600111882946,57.319999999999965,137.32999999999996,75.0,0.0,5.0,10.0,9823.746128644303
41,10.0,366.4809996660188,72.11999999999992,152.1299999999999,75.0,0.0,5.0,10.0,9823.746128644303
42,10.0,371.3546668338715,96.91999999999993,176.92999999999992,75.0,0.0,5.0,10.0,9823.746128644303
43,10.0,375.9802399633451,246.2399999999999,326.2499999999999,75.0,0.0,5.0,10.0,9823.746128644303
44,10.0,381.4540862333319,148.95999999999992,228.9699999999999,75.0,0.0,5.0,10.0,9823.746128644303
45,9.999999999999986,386.44073754696655,139.23999999999987,219.24999999999986,75.0,7.105427357601002e-15,4.999999999999993,9.999999999999986,9823.746128644303
46,-10.0,388.92320903535756,204.55999999999983,284.5699999999998,80.0,0.0,0.0,-10.0,9823.746128644303
47,-10.0,386.44066227927067,213.47999999999985,293.48999999999984,80.0,0.0,0.0,-10.0,9823.746128644303
48,10.0,381.45332767163404,149.59999999999985,229.60999999999984,75.0,0.0,5.0,10.0,9823.746128644303
49,10.0,386.4407408971517,161.8399999999999,241.84999999999988,75.0,0.0,5.0,10.0,9823.746128644303
50,-10.0,388.92334367089296,192.15999999999997,272.16999999999996,80.0,0.0,0.0,-10.0,9823.746128644303
51,10.0,386.4406589286668,187.0399999999999,267.0499999999999,75.0,0.0,5.0,10.0,9823.746128644303
52,0.0,388.923379481589,86.19999999999993,166.20999999999992,80.0,0.0,0.0,0.0,9823.746128644303
53,-10.0,388.923379481589,74.91999999999996,154.92999999999995,80.0,0.0,0.0,-10.0,9823.746128644303
54,10.0,386.4404866181546,89.23999999999995,169.24999999999994,75.0,0.0,5.0,10.0,9823.746128644303
55,-10.0,388.9234174427273,49.559999999999945,129.56999999999994,80.0,0.0,0.0,-10.0,9823.746128644303
56,10.0,386.44039627543975,86.35999999999996,166.36999999999995,75.0,0.0,5.0,10.0,9823.746128644303
57,-10.0,388.9234568389513,217.19999999999993,297.2099999999999,80.0,0.0,0.0,-10.0,9823.746128644303
58,10.0,386.44030258051646,55.63999999999996,135.64999999999995,75.0,0.0,5.0,10.0,9823.746128644303
59,0.0,388.9234976704706,43.27999999999997,123.28999999999998,80.0,0.0,0.0,0.0,9823.746128644303
60,0.0,388.9234976704706,31.87999999999998,111.88999999999999,80.0,0.0,0.0,0.0,9823.746128644303
61,-10.0,388.9234976704706,69.80000000000001,149.81,80.0,0.0,0.0,-10.0,9823.746128644303
62,-10.0,386.4400064205434,57.23999999999995,137.24999999999994,80.0,0.0,0.0,-10.0,9823.746128644303
63,-10.0,381.4482608252742,87.63999999999996,167.64999999999995,80.0,0.0,0.0,-10.0,9823.746128644303
64,-10.0,375.97633412954764,75.91999999999999,155.92999999999998,80.0,0.0,0.0,-10.0,9823.746128644303
65,-10.0,371.34747260774117,84.1333333333333,163.60999999999996,79.46666666666667,0.0,0.0,-10.0,9823.746128644303
66,-10.0,366.46956651933283,86.21333333333328,165.68999999999994,79.46666666666667,0.0,0.0,-10.0,9823.746128644303
67,-10.0,361.21666058538653,123.02666666666664,189.56999999999996,66.53333333333333,0.0,0.0,-10.0,9823.746128644303
68,10.00000000000003,356.5415540776335,35.78666666666666,102.33,61.53333333333332,0.0,5.000000000000015,10.00000000000003,9823.746128644303
69,-10.0,361.21684226695965,66.37333333333333,119.45,53.06666666666667,0.0,0.0,-10.0,9823.746128644303
70,-10.0,356.5414684344665,36.37333333333333,89.45,53.06666666666667,0.0,0.0,-10.0,9823.746128644303
71,-10.0,352.0264427147511,72.97333333333333,112.45,39.46666666666667,0.0,0.0,-10.0,9823.746128644303
72,-10.0,348.2373905555031,39.61333333333333,79.09,39.46666666666667,0.0,0.0,-10.0,9823.746128644303
73,-10.0,345.2052874697388,47.213333333333324,73.49,26.26666666666667,0.0,0.0,-10.0,9823.746128644303
74,-10.0,342.15725936971523,42.89333333333333,69.17,26.26666666666667,0.0,0.0,-10.0,9823.746128644303
75,-10.0,338.1466497511557,54.98666666666666,69.13,14.133333333333335,0.0,0.0,-10.0,9823.746128644303
76,10.0,332.7771027666815,52.14666666666668,66.29000000000002,9.133333333333335,0.0,5.0,10.0,9823.746128644303
